Spot_Name,District,Category,Year,Month,Season,Festival,Total_Visitors
Kamaldham Mandir / Lotus Temple,Ranga Reddy,religious,2025,June,Monsoon,None,7024
Kamaldham Mandir / Lotus Temple,Ranga Reddy,religious,2025,July,Monsoon,Bonalu,7602
Kamaldham Mandir / Lotus Temple,Ranga Reddy,religious,2025,August,Monsoon,"Independence Day, Krishna Janmashtami",8953
Kamaldham Mandir / Lotus Temple,Ranga Reddy,religious,2025,September,Monsoon,Vinayaka Chavithi,8578
Kamaldham Mandir / Lotus Temple,Ranga Reddy,religious,2025,October,Post-Monsoon,"Bathukamma, Dussehra",16850
Kamaldham Mandir / Lotus Temple,Ranga Reddy,religious,2025,November,Winter,Diwali,20249
Kamaldham Mandir / Lotus Temple,Ranga Reddy,religious,2025,December,Winter,Christmas,20716
Keesara Gutta,Medchal-Malkajgiri,religious,2024,January,Winter,"Bhogi, Sankranti",20852
Keesara Gutta,Medchal-Malkajgiri,religious,2024,February,Winter,Maha Shivaratri,16756
Keesara Gutta,Medchal-Malkajgiri,religious,2024,March,Summer,Holi,9754
Keesara Gutta,Medchal-Malkajgiri,religious,2024,April,Summer,"Ugadi, Sri Rama Navami",10418
Keesara Gutta,Medchal-Malkajgiri,religious,2024,May,Summer,Buddha Purnima,7942
Keesara Gutta,Medchal-Malkajgiri,religious,2024,June,Monsoon,None,5777
Keesara Gutta,Medchal-Malkajgiri,religious,2024,July,Monsoon,Bonalu,6638
Keesara Gutta,Medchal-Malkajgiri,religious,2024,August,Monsoon,"Independence Day, Krishna Janmashtami",7047
Keesara Gutta,Medchal-Malkajgiri,religious,2024,September,Monsoon,Vinayaka Chavithi,7121
Keesara Gutta,Medchal-Malkajgiri,religious,2024,October,Post-Monsoon,"Bathukamma, Dussehra",15774
Keesara Gutta,Medchal-Malkajgiri,religious,2024,November,Winter,Diwali,18395
Keesara Gutta,Medchal-Malkajgiri,religious,2024,December,Winter,Christmas,19489
Keesara Gutta,Medchal-Malkajgiri,religious,2025,January,Winter,"Bhogi, Sankranti",21479
Keesara Gutta,Medchal-Malkajgiri,religious,2025,February,Winter,Maha Shivaratri,17294
Keesara Gutta,Medchal-Malkajgiri,religious,2025,March,Summer,Holi,9967
Keesara Gutta,Medchal-Malkajgiri,religious,2025,April,Summer,"Ugadi, Sri Rama Navami",11985
Keesara Gutta,Medchal-Malkajgiri,religious,2025,May,Summer,Buddha Purnima,9049
Keesara Gutta,Medchal-Malkajgiri,religious,2025,June,Monsoon,None,6476
Keesara Gutta,Medchal-Malkajgiri,religious,2025,July,Monsoon,Bonalu,7212
Keesara Gutta,Medchal-Malkajgiri,religious,2025,August,Monsoon,"Independence Day, Krishna Janmashtami",8088
Keesara Gutta,Medchal-Malkajgiri,religious,2025,September,Monsoon,Vinayaka Chavithi,8300
Keesara Gutta,Medchal-Malkajgiri,religious,2025,October,Post-Monsoon,"Bathukamma, Dussehra",18387
Keesara Gutta,Medchal-Malkajgiri,religious,2025,November,Winter,Diwali,18152
Keesara Gutta,Medchal-Malkajgiri,religious,2025,December,Winter,Christmas,21261
Nagarjuna Sagar,Nalgonda,nature,2024,January,Winter,"Bhogi, Sankranti",12616
Nagarjuna Sagar,Nalgonda,nature,2024,February,Winter,Maha Shivaratri,11199
Nagarjuna Sagar,Nalgonda,nature,2024,March,Summer,Holi,7102
Nagarjuna Sagar,Nalgonda,nature,2024,April,Summer,"Ugadi, Sri Rama Navami",7028
Nagarjuna Sagar,Nalgonda,nature,2024,May,Summer,Buddha Purnima,5807
Nagarjuna Sagar,Nalgonda,nature,2024,June,Monsoon,None,4248
Nagarjuna Sagar,Nalgonda,nature,2024,July,Monsoon,Bonalu,4082
Nagarjuna Sagar,Nalgonda,nature,2024,August,Monsoon,"Independence Day, Krishna Janmashtami",4635
Nagarjuna Sagar,Nalgonda,nature,2024,September,Monsoon,Vinayaka Chavithi,4729
Nagarjuna Sagar,Nalgonda,nature,2024,October,Post-Monsoon,"Bathukamma, Dussehra",9198
Nagarjuna Sagar,Nalgonda,nature,2024,November,Winter,Diwali,12717
Nagarjuna Sagar,Nalgonda,nature,2024,December,Winter,Christmas,11803
Nagarjuna Sagar,Nalgonda,nature,2025,January,Winter,"Bhogi, Sankranti",13436
Nagarjuna Sagar,Nalgonda,nature,2025,February,Winter,Maha Shivaratri,11770
Nagarjuna Sagar,Nalgonda,nature,2025,March,Summer,Holi,7235
Nagarjuna Sagar,Nalgonda,nature,2025,April,Summer,"Ugadi, Sri Rama Navami",7705
Nagarjuna Sagar,Nalgonda,nature,2025,May,Summer,Buddha Purnima,6370
Nagarjuna Sagar,Nalgonda,nature,2025,June,Monsoon,None,4228
Nagarjuna Sagar,Nalgonda,nature,2025,July,Monsoon,Bonalu,4453
Nagarjuna Sagar,Nalgonda,nature,2025,August,Monsoon,"Independence Day, Krishna Janmashtami",5299
Nagarjuna Sagar,Nalgonda,nature,2025,September,Monsoon,Vinayaka Chavithi,5322
Nagarjuna Sagar,Nalgonda,nature,2025,October,Post-Monsoon,"Bathukamma, Dussehra",11902
Nagarjuna Sagar,Nalgonda,nature,2025,November,Winter,Diwali,12760
Nagarjuna Sagar,Nalgonda,nature,2025,December,Winter,Christmas,13988
Maula Ali Dargah,Medchal-Malkajgiri,religious,2024,January,Winter,"Bhogi, Sankranti",19573
Maula Ali Dargah,Medchal-Malkajgiri,religious,2024,February,Winter,Maha Shivaratri,17619
Maula Ali Dargah,Medchal-Malkajgiri,religious,2024,March,Summer,Holi,10025
Maula Ali Dargah,Medchal-Malkajgiri,religious,2024,April,Summer,"Ugadi, Sri Rama Navami",9653
Maula Ali Dargah,Medchal-Malkajgiri,religious,2024,May,Summer,Buddha Purnima,8686
Maula Ali Dargah,Medchal-Malkajgiri,religious,2024,June,Monsoon,None,5874
Maula Ali Dargah,Medchal-Malkajgiri,religious,2024,July,Monsoon,Bonalu,6096
Maula Ali Dargah,Medchal-Malkajgiri,religious,2024,August,Monsoon,"Independence Day, Krishna Janmashtami",7500
Maula Ali Dargah,Medchal-Malkajgiri,religious,2024,September,Monsoon,Vinayaka Chavithi,7979
Maula Ali Dargah,Medchal-Malkajgiri,religious,2024,October,Post-Monsoon,"Bathukamma, Dussehra",15378
Maula Ali Dargah,Medchal-Malkajgiri,religious,2024,November,Winter,Diwali,17634
Maula Ali Dargah,Medchal-Malkajgiri,religious,2024,December,Winter,Christmas,20414
Maula Ali Dargah,Medchal-Malkajgiri,religious,2025,January,Winter,"Bhogi, Sankranti",20706
Maula Ali Dargah,Medchal-Malkajgiri,religious,2025,February,Winter,Maha Shivaratri,20312
Maula Ali Dargah,Medchal-Malkajgiri,religious,2025,March,Summer,Holi,11034
Maula Ali Dargah,Medchal-Malkajgiri,religious,2025,April,Summer,"Ugadi, Sri Rama Navami",10167
Maula Ali Dargah,Medchal-Malkajgiri,religious,2025,May,Summer,Buddha Purnima,9544
Maula Ali Dargah,Medchal-Malkajgiri,religious,2025,June,Monsoon,None,6683
Maula Ali Dargah,Medchal-Malkajgiri,religious,2025,July,Monsoon,Bonalu,7199
Maula Ali Dargah,Medchal-Malkajgiri,religious,2025,August,Monsoon,"Independence Day, Krishna Janmashtami",8134
Maula Ali Dargah,Medchal-Malkajgiri,religious,2025,September,Monsoon,Vinayaka Chavithi,8059
Maula Ali Dargah,Medchal-Malkajgiri,religious,2025,October,Post-Monsoon,"Bathukamma, Dussehra",15575
Maula Ali Dargah,Medchal-Malkajgiri,religious,2025,November,Winter,Diwali,18559
Maula Ali Dargah,Medchal-Malkajgiri,religious,2025,December,Winter,Christmas,19454
Paigah Tombs,Hyderabad,heritage,2024,January,Winter,"Bhogi, Sankranti",17902
Paigah Tombs,Hyderabad,heritage,2024,February,Winter,Maha Shivaratri,16673
Paigah Tombs,Hyderabad,heritage,2024,March,Summer,Holi,10477
Paigah Tombs,Hyderabad,heritage,2024,April,Summer,"Ugadi, Sri Rama Navami",10244
Paigah Tombs,Hyderabad,heritage,2024,May,Summer,Buddha Purnima,7792
Paigah Tombs,Hyderabad,heritage,2024,June,Monsoon,None,6041
Paigah Tombs,Hyderabad,heritage,2024,July,Monsoon,Bonalu,6459
Paigah Tombs,Hyderabad,heritage,2024,August,Monsoon,"Independence Day, Krishna Janmashtami",6875
Paigah Tombs,Hyderabad,heritage,2024,September,Monsoon,Vinayaka Chavithi,7264
Paigah Tombs,Hyderabad,heritage,2024,October,Post-Monsoon,"Bathukamma, Dussehra",14962
Paigah Tombs,Hyderabad,heritage,2024,November,Winter,Diwali,16238
Paigah Tombs,Hyderabad,heritage,2024,December,Winter,Christmas,18903
Paigah Tombs,Hyderabad,heritage,2025,January,Winter,"Bhogi, Sankranti",19792
Paigah Tombs,Hyderabad,heritage,2025,February,Winter,Maha Shivaratri,17859
Paigah Tombs,Hyderabad,heritage,2025,March,Summer,Holi,9979
Paigah Tombs,Hyderabad,heritage,2025,April,Summer,"Ugadi, Sri Rama Navami",10612
Paigah Tombs,Hyderabad,heritage,2025,May,Summer,Buddha Purnima,9274
Paigah Tombs,Hyderabad,heritage,2025,June,Monsoon,None,6263
Paigah Tombs,Hyderabad,heritage,2025,July,Monsoon,Bonalu,7150
Paigah Tombs,Hyderabad,heritage,2025,August,Monsoon,"Independence Day, Krishna Janmashtami",7506
Paigah Tombs,Hyderabad,heritage,2025,September,Monsoon,Vinayaka Chavithi,7987
Paigah Tombs,Hyderabad,heritage,2025,October,Post-Monsoon,"Bathukamma, Dussehra",16900
Paigah Tombs,Hyderabad,heritage,2025,November,Winter,Diwali,16959
Paigah Tombs,Hyderabad,heritage,2025,December,Winter,Christmas,18033
Sanghi Temple,Ranga Reddy,religious,2024,January,Winter,"Bhogi, Sankranti",18468
Sanghi Temple,Ranga Reddy,religious,2024,February,Winter,Maha Shivaratri,18672
Sanghi Temple,Ranga Reddy,religious,2024,March,Summer,Holi,10196
Sanghi Temple,Ranga Reddy,religious,2024,April,Summer,"Ugadi, Sri Rama Navami",12287
Sanghi Temple,Ranga Reddy,religious,2024,May,Summer,Buddha Purnima,8734
Sanghi Temple,Ranga Reddy,religious,2024,June,Monsoon,None,6467
Sanghi Temple,Ranga Reddy,religious,2024,July,Monsoon,Bonalu,7118
Sanghi Temple,Ranga Reddy,religious,2024,August,Monsoon,"Independence Day, Krishna Janmashtami",8461
Sanghi Temple,Ranga Reddy,religious,2024,September,Monsoon,Vinayaka Chavithi,8747
Sanghi Temple,Ranga Reddy,religious,2024,October,Post-Monsoon,"Bathukamma, Dussehra",17192
Sanghi Temple,Ranga Reddy,religious,2024,November,Winter,Diwali,19266
Sanghi Temple,Ranga Reddy,religious,2024,December,Winter,Christmas,20443
Sanghi Temple,Ranga Reddy,religious,2025,January,Winter,"Bhogi, Sankranti",22433
Sanghi Temple,Ranga Reddy,religious,2025,February,Winter,Maha Shivaratri,18446
Sanghi Temple,Ranga Reddy,religious,2025,March,Summer,Holi,10861
Sanghi Temple,Ranga Reddy,religious,2025,April,Summer,"Ugadi, Sri Rama Navami",11763
Sanghi Temple,Ranga Reddy,religious,2025,May,Summer,Buddha Purnima,9624
Sanghi Temple,Ranga Reddy,religious,2025,June,Monsoon,None,6764
Sanghi Temple,Ranga Reddy,religious,2025,July,Monsoon,Bonalu,7386
Sanghi Temple,Ranga Reddy,religious,2025,August,Monsoon,"Independence Day, Krishna Janmashtami",8702
Sanghi Temple,Ranga Reddy,religious,2025,September,Monsoon,Vinayaka Chavithi,8602
Sanghi Temple,Ranga Reddy,religious,2025,October,Post-Monsoon,"Bathukamma, Dussehra",18803
Sanghi Temple,Ranga Reddy,religious,2025,November,Winter,Diwali,18664
Sanghi Temple,Ranga Reddy,religious,2025,December,Winter,Christmas,21235
Shyam Mandir Temple / Veeranna Gutta,Hyderabad,religious,2024,January,Winter,"Bhogi, Sankranti",22455
Shyam Mandir Temple / Veeranna Gutta,Hyderabad,religious,2024,February,Winter,Maha Shivaratri,18550
Shyam Mandir Temple / Veeranna Gutta,Hyderabad,religious,2024,March,Summer,Holi,12163
Shyam Mandir Temple / Veeranna Gutta,Hyderabad,religious,2024,April,Summer,"Ugadi, Sri Rama Navami",12612
Shyam Mandir Temple / Veeranna Gutta,Hyderabad,religious,2024,May,Summer,Buddha Purnima,11261
Shyam Mandir Temple / Veeranna Gutta,Hyderabad,religious,2024,June,Monsoon,None,7700
Shyam Mandir Temple / Veeranna Gutta,Hyderabad,religious,2024,July,Monsoon,Bonalu,7304
Shyam Mandir Temple / Veeranna Gutta,Hyderabad,religious,2024,August,Monsoon,"Independence Day, Krishna Janmashtami",9788
Shyam Mandir Temple / Veeranna Gutta,Hyderabad,religious,2024,September,Monsoon,Vinayaka Chavithi,9801
Shyam Mandir Temple / Veeranna Gutta,Hyderabad,religious,2024,October,Post-Monsoon,"Bathukamma, Dussehra",19435
Shyam Mandir Temple / Veeranna Gutta,Hyderabad,religious,2024,November,Winter,Diwali,21107
Shyam Mandir Temple / Veeranna Gutta,Hyderabad,religious,2024,December,Winter,Christmas,22018
Shyam Mandir Temple / Veeranna Gutta,Hyderabad,religious,2025,January,Winter,"Bhogi, Sankranti",24684
Shyam Mandir Temple / Veeranna Gutta,Hyderabad,religious,2025,February,Winter,Maha Shivaratri,23299
Shyam Mandir Temple / Veeranna Gutta,Hyderabad,religious,2025,March,Summer,Holi,14434
Shyam Mandir Temple / Veeranna Gutta,Hyderabad,religious,2025,April,Summer,"Ugadi, Sri Rama Navami",14762
Shyam Mandir Temple / Veeranna Gutta,Hyderabad,religious,2025,May,Summer,Buddha Purnima,11030
Shyam Mandir Temple / Veeranna Gutta,Hyderabad,religious,2025,June,Monsoon,None,7610
Shyam Mandir Temple / Veeranna Gutta,Hyderabad,religious,2025,July,Monsoon,Bonalu,8372
Shyam Mandir Temple / Veeranna Gutta,Hyderabad,religious,2025,August,Monsoon,"Independence Day, Krishna Janmashtami",8819
Shyam Mandir Temple / Veeranna Gutta,Hyderabad,religious,2025,September,Monsoon,Vinayaka Chavithi,10138
Shyam Mandir Temple / Veeranna Gutta,Hyderabad,religious,2025,October,Post-Monsoon,"Bathukamma, Dussehra",20246
Shyam Mandir Temple / Veeranna Gutta,Hyderabad,religious,2025,November,Winter,Diwali,22519
Shyam Mandir Temple / Veeranna Gutta,Hyderabad,religious,2025,December,Winter,Christmas,22986
St. Joseph's Cathedral,Hyderabad,religious,2024,January,Winter,"Bhogi, Sankranti",23887
St. Joseph's Cathedral,Hyderabad,religious,2024,February,Winter,Maha Shivaratri,19914
St. Joseph's Cathedral,Hyderabad,religious,2024,March,Summer,Holi,11499
St. Joseph's Cathedral,Hyderabad,religious,2024,April,Summer,"Ugadi, Sri Rama Navami",10867
St. Joseph's Cathedral,Hyderabad,religious,2024,May,Summer,Buddha Purnima,10455
St. Joseph's Cathedral,Hyderabad,religious,2024,June,Monsoon,None,8126
St. Joseph's Cathedral,Hyderabad,religious,2024,July,Monsoon,Bonalu,8337
St. Joseph's Cathedral,Hyderabad,religious,2024,August,Monsoon,"Independence Day, Krishna Janmashtami",8753
St. Joseph's Cathedral,Hyderabad,religious,2024,September,Monsoon,Vinayaka Chavithi,8959
St. Joseph's Cathedral,Hyderabad,religious,2024,October,Post-Monsoon,"Bathukamma, Dussehra",19328
St. Joseph's Cathedral,Hyderabad,religious,2024,November,Winter,Diwali,20283
St. Joseph's Cathedral,Hyderabad,religious,2024,December,Winter,Christmas,23477
St. Joseph's Cathedral,Hyderabad,religious,2025,January,Winter,"Bhogi, Sankranti",26116
St. Joseph's Cathedral,Hyderabad,religious,2025,February,Winter,Maha Shivaratri,23451
St. Joseph's Cathedral,Hyderabad,religious,2025,March,Summer,Holi,13125
St. Joseph's Cathedral,Hyderabad,religious,2025,April,Summer,"Ugadi, Sri Rama Navami",13565
St. Joseph's Cathedral,Hyderabad,religious,2025,May,Summer,Buddha Purnima,10810
St. Joseph's Cathedral,Hyderabad,religious,2025,June,Monsoon,None,7728
St. Joseph's Cathedral,Hyderabad,religious,2025,July,Monsoon,Bonalu,8219
St. Joseph's Cathedral,Hyderabad,religious,2025,August,Monsoon,"Independence Day, Krishna Janmashtami",9852
St. Joseph's Cathedral,Hyderabad,religious,2025,September,Monsoon,Vinayaka Chavithi,10432
St. Joseph's Cathedral,Hyderabad,religious,2025,October,Post-Monsoon,"Bathukamma, Dussehra",19577
St. Joseph's Cathedral,Hyderabad,religious,2025,November,Winter,Diwali,24777
St. Joseph's Cathedral,Hyderabad,religious,2025,December,Winter,Christmas,24639
Toli Masjid,Hyderabad,religious,2024,January,Winter,"Bhogi, Sankranti",23265
Toli Masjid,Hyderabad,religious,2024,February,Winter,Maha Shivaratri,19695
Toli Masjid,Hyderabad,religious,2024,March,Summer,Holi,10733
Toli Masjid,Hyderabad,religious,2024,April,Summer,"Ugadi, Sri Rama Navami",13251
Toli Masjid,Hyderabad,religious,2024,May,Summer,Buddha Purnima,10855
Toli Masjid,Hyderabad,religious,2024,June,Monsoon,None,7360
Toli Masjid,Hyderabad,religious,2024,July,Monsoon,Bonalu,7724
Toli Masjid,Hyderabad,religious,2024,August,Monsoon,"Independence Day, Krishna Janmashtami",9189
Toli Masjid,Hyderabad,religious,2024,September,Monsoon,Vinayaka Chavithi,8516
Toli Masjid,Hyderabad,religious,2024,October,Post-Monsoon,"Bathukamma, Dussehra",18386
Toli Masjid,Hyderabad,religious,2024,November,Winter,Diwali,22196
Toli Masjid,Hyderabad,religious,2024,December,Winter,Christmas,21677
Toli Masjid,Hyderabad,religious,2025,January,Winter,"Bhogi, Sankranti",25522
Toli Masjid,Hyderabad,religious,2025,February,Winter,Maha Shivaratri,20597
Toli Masjid,Hyderabad,religious,2025,March,Summer,Holi,13499
Toli Masjid,Hyderabad,religious,2025,April,Summer,"Ugadi, Sri Rama Navami",13680
Toli Masjid,Hyderabad,religious,2025,May,Summer,Buddha Purnima,10393
Toli Masjid,Hyderabad,religious,2025,June,Monsoon,None,8531
Toli Masjid,Hyderabad,religious,2025,July,Monsoon,Bonalu,8008
Toli Masjid,Hyderabad,religious,2025,August,Monsoon,"Independence Day, Krishna Janmashtami",9282
Toli Masjid,Hyderabad,religious,2025,September,Monsoon,Vinayaka Chavithi,10076
Toli Masjid,Hyderabad,religious,2025,October,Post-Monsoon,"Bathukamma, Dussehra",21568
Toli Masjid,Hyderabad,religious,2025,November,Winter,Diwali,21885
Toli Masjid,Hyderabad,religious,2025,December,Winter,Christmas,25055
Hussain Sagar & Necklace Road,Hyderabad,nature,2024,January,Winter,"Bhogi, Sankranti",15859
Hussain Sagar & Necklace Road,Hyderabad,nature,2024,February,Winter,Maha Shivaratri,14112
Hussain Sagar & Necklace Road,Hyderabad,nature,2024,March,Summer,Holi,8214
Hussain Sagar & Necklace Road,Hyderabad,nature,2024,April,Summer,"Ugadi, Sri Rama Navami",8305
Hussain Sagar & Necklace Road,Hyderabad,nature,2024,May,Summer,Buddha Purnima,6691
Hussain Sagar & Necklace Road,Hyderabad,nature,2024,June,Monsoon,None,4998
Hussain Sagar & Necklace Road,Hyderabad,nature,2024,July,Monsoon,Bonalu,4857
Hussain Sagar & Necklace Road,Hyderabad,nature,2024,August,Monsoon,"Independence Day, Krishna Janmashtami",5099
Hussain Sagar & Necklace Road,Hyderabad,nature,2024,September,Monsoon,Vinayaka Chavithi,6293
Hussain Sagar & Necklace Road,Hyderabad,nature,2024,October,Post-Monsoon,"Bathukamma, Dussehra",13159
Hussain Sagar & Necklace Road,Hyderabad,nature,2024,November,Winter,Diwali,12551
Hussain Sagar & Necklace Road,Hyderabad,nature,2024,December,Winter,Christmas,14640
Hussain Sagar & Necklace Road,Hyderabad,nature,2025,January,Winter,"Bhogi, Sankranti",17287
Hussain Sagar & Necklace Road,Hyderabad,nature,2025,February,Winter,Maha Shivaratri,16246
Hussain Sagar & Necklace Road,Hyderabad,nature,2025,March,Summer,Holi,8803
Hussain Sagar & Necklace Road,Hyderabad,nature,2025,April,Summer,"Ugadi, Sri Rama Navami",8804
Hussain Sagar & Necklace Road,Hyderabad,nature,2025,May,Summer,Buddha Purnima,7469
Hussain Sagar & Necklace Road,Hyderabad,nature,2025,June,Monsoon,None,5744
Hussain Sagar & Necklace Road,Hyderabad,nature,2025,July,Monsoon,Bonalu,5363
Hussain Sagar & Necklace Road,Hyderabad,nature,2025,August,Monsoon,"Independence Day, Krishna Janmashtami",6192
Hussain Sagar & Necklace Road,Hyderabad,nature,2025,September,Monsoon,Vinayaka Chavithi,6490
Hussain Sagar & Necklace Road,Hyderabad,nature,2025,October,Post-Monsoon,"Bathukamma, Dussehra",12949
Hussain Sagar & Necklace Road,Hyderabad,nature,2025,November,Winter,Diwali,15465
Hussain Sagar & Necklace Road,Hyderabad,nature,2025,December,Winter,Christmas,18005
Durgam Cheruvu / Secret Lake,Ranga Reddy,nature,2024,January,Winter,"Bhogi, Sankranti",13544
Durgam Cheruvu / Secret Lake,Ranga Reddy,nature,2024,February,Winter,Maha Shivaratri,11561
Durgam Cheruvu / Secret Lake,Ranga Reddy,nature,2024,March,Summer,Holi,6888
Durgam Cheruvu / Secret Lake,Ranga Reddy,nature,2024,April,Summer,"Ugadi, Sri Rama Navami",6695
Durgam Cheruvu / Secret Lake,Ranga Reddy,nature,2024,May,Summer,Buddha Purnima,6256
Durgam Cheruvu / Secret Lake,Ranga Reddy,nature,2024,June,Monsoon,None,4255
Durgam Cheruvu / Secret Lake,Ranga Reddy,nature,2024,July,Monsoon,Bonalu,4366
Durgam Cheruvu / Secret Lake,Ranga Reddy,nature,2024,August,Monsoon,"Independence Day, Krishna Janmashtami",5945
Durgam Cheruvu / Secret Lake,Ranga Reddy,nature,2024,September,Monsoon,Vinayaka Chavithi,5366
Durgam Cheruvu / Secret Lake,Ranga Reddy,nature,2024,October,Post-Monsoon,"Bathukamma, Dussehra",10402
Durgam Cheruvu / Secret Lake,Ranga Reddy,nature,2024,November,Winter,Diwali,11958
Durgam Cheruvu / Secret Lake,Ranga Reddy,nature,2024,December,Winter,Christmas,13996
Durgam Cheruvu / Secret Lake,Ranga Reddy,nature,2025,January,Winter,"Bhogi, Sankranti",14477
Durgam Cheruvu / Secret Lake,Ranga Reddy,nature,2025,February,Winter,Maha Shivaratri,11736
Durgam Cheruvu / Secret Lake,Ranga Reddy,nature,2025,March,Summer,Holi,7896
Durgam Cheruvu / Secret Lake,Ranga Reddy,nature,2025,April,Summer,"Ugadi, Sri Rama Navami",7582
Durgam Cheruvu / Secret Lake,Ranga Reddy,nature,2025,May,Summer,Buddha Purnima,7077
Durgam Cheruvu / Secret Lake,Ranga Reddy,nature,2025,June,Monsoon,None,4863
Durgam Cheruvu / Secret Lake,Ranga Reddy,nature,2025,July,Monsoon,Bonalu,4652
Durgam Cheruvu / Secret Lake,Ranga Reddy,nature,2025,August,Monsoon,"Independence Day, Krishna Janmashtami",5891
Durgam Cheruvu / Secret Lake,Ranga Reddy,nature,2025,September,Monsoon,Vinayaka Chavithi,5729
Durgam Cheruvu / Secret Lake,Ranga Reddy,nature,2025,October,Post-Monsoon,"Bathukamma, Dussehra",12171
Durgam Cheruvu / Secret Lake,Ranga Reddy,nature,2025,November,Winter,Diwali,13515
Durgam Cheruvu / Secret Lake,Ranga Reddy,nature,2025,December,Winter,Christmas,13690
Himayat Sagar Lake,Ranga Reddy,nature,2024,January,Winter,"Bhogi, Sankranti",12900
Himayat Sagar Lake,Ranga Reddy,nature,2024,February,Winter,Maha Shivaratri,12312
Himayat Sagar Lake,Ranga Reddy,nature,2024,March,Summer,Holi,6873
Himayat Sagar Lake,Ranga Reddy,nature,2024,April,Summer,"Ugadi, Sri Rama Navami",7116
Himayat Sagar Lake,Ranga Reddy,nature,2024,May,Summer,Buddha Purnima,5705
Himayat Sagar Lake,Ranga Reddy,nature,2024,June,Monsoon,None,4363
Himayat Sagar Lake,Ranga Reddy,nature,2024,July,Monsoon,Bonalu,4860
Himayat Sagar Lake,Ranga Reddy,nature,2024,August,Monsoon,"Independence Day, Krishna Janmashtami",4853
Himayat Sagar Lake,Ranga Reddy,nature,2024,September,Monsoon,Vinayaka Chavithi,5293
Himayat Sagar Lake,Ranga Reddy,nature,2024,October,Post-Monsoon,"Bathukamma, Dussehra",11572
Himayat Sagar Lake,Ranga Reddy,nature,2024,November,Winter,Diwali,12170
Himayat Sagar Lake,Ranga Reddy,nature,2024,December,Winter,Christmas,13536
Himayat Sagar Lake,Ranga Reddy,nature,2025,January,Winter,"Bhogi, Sankranti",13631
Himayat Sagar Lake,Ranga Reddy,nature,2025,February,Winter,Maha Shivaratri,12917
Himayat Sagar Lake,Ranga Reddy,nature,2025,March,Summer,Holi,7479
Himayat Sagar Lake,Ranga Reddy,nature,2025,April,Summer,"Ugadi, Sri Rama Navami",8230
Himayat Sagar Lake,Ranga Reddy,nature,2025,May,Summer,Buddha Purnima,6855
Himayat Sagar Lake,Ranga Reddy,nature,2025,June,Monsoon,None,5211
Himayat Sagar Lake,Ranga Reddy,nature,2025,July,Monsoon,Bonalu,4896
Himayat Sagar Lake,Ranga Reddy,nature,2025,August,Monsoon,"Independence Day, Krishna Janmashtami",5627
Himayat Sagar Lake,Ranga Reddy,nature,2025,September,Monsoon,Vinayaka Chavithi,5765
Himayat Sagar Lake,Ranga Reddy,nature,2025,October,Post-Monsoon,"Bathukamma, Dussehra",11467
Himayat Sagar Lake,Ranga Reddy,nature,2025,November,Winter,Diwali,13419
Himayat Sagar Lake,Ranga Reddy,nature,2025,December,Winter,Christmas,14084
Osman Sagar Lake / Gandipet,Ranga Reddy,nature,2024,January,Winter,"Bhogi, Sankranti",13441
Osman Sagar Lake / Gandipet,Ranga Reddy,nature,2024,February,Winter,Maha Shivaratri,12480
Osman Sagar Lake / Gandipet,Ranga Reddy,nature,2024,March,Summer,Holi,6638
Osman Sagar Lake / Gandipet,Ranga Reddy,nature,2024,April,Summer,"Ugadi, Sri Rama Navami",7676
Osman Sagar Lake / Gandipet,Ranga Reddy,nature,2024,May,Summer,Buddha Purnima,6386
Osman Sagar Lake / Gandipet,Ranga Reddy,nature,2024,June,Monsoon,None,4247
Osman Sagar Lake / Gandipet,Ranga Reddy,nature,2024,July,Monsoon,Bonalu,3938
Osman Sagar Lake / Gandipet,Ranga Reddy,nature,2024,August,Monsoon,"Independence Day, Krishna Janmashtami",4971
Osman Sagar Lake / Gandipet,Ranga Reddy,nature,2024,September,Monsoon,Vinayaka Chavithi,5630
Osman Sagar Lake / Gandipet,Ranga Reddy,nature,2024,October,Post-Monsoon,"Bathukamma, Dussehra",10796
Osman Sagar Lake / Gandipet,Ranga Reddy,nature,2024,November,Winter,Diwali,11608
Osman Sagar Lake / Gandipet,Ranga Reddy,nature,2024,December,Winter,Christmas,12902
Osman Sagar Lake / Gandipet,Ranga Reddy,nature,2025,January,Winter,"Bhogi, Sankranti",15000
Osman Sagar Lake / Gandipet,Ranga Reddy,nature,2025,February,Winter,Maha Shivaratri,12991
Osman Sagar Lake / Gandipet,Ranga Reddy,nature,2025,March,Summer,Holi,7459
Osman Sagar Lake / Gandipet,Ranga Reddy,nature,2025,April,Summer,"Ugadi, Sri Rama Navami",7700
Osman Sagar Lake / Gandipet,Ranga Reddy,nature,2025,May,Summer,Buddha Purnima,6344
Osman Sagar Lake / Gandipet,Ranga Reddy,nature,2025,June,Monsoon,None,4401
Osman Sagar Lake / Gandipet,Ranga Reddy,nature,2025,July,Monsoon,Bonalu,5142
Osman Sagar Lake / Gandipet,Ranga Reddy,nature,2025,August,Monsoon,"Independence Day, Krishna Janmashtami",5447
Osman Sagar Lake / Gandipet,Ranga Reddy,nature,2025,September,Monsoon,Vinayaka Chavithi,6057
Osman Sagar Lake / Gandipet,Ranga Reddy,nature,2025,October,Post-Monsoon,"Bathukamma, Dussehra",12561
