spot_name,district,amenity_name,amenity_type,lat,lon
Banjara Lake,Hyderabad,Axis Bank ATM,atm,17.409554,78.446914
Banjara Lake,Hyderabad,Osmania General Hospital,hospital,17.412754,78.446114
Bapu Ghat,Hyderabad,Nimrah Bakery & Cafe,restaurant,17.374083,78.414801
Bapu Ghat,Hyderabad,Union Bank of India ATM,atm,17.371383,78.412601
Bapu Ghat,Hyderabad,NIMS Hospital Punjagutta,hospital,17.374583,78.411801
Basilica of Our Lady of the Assumption,Hyderabad,Shadab Hotel & Restaurant,restaurant,17.443768,78.50341
Basilica of Our Lady of the Assumption,Hyderabad,SBI ATM Main Branch,atm,17.441068,78.50121
Basilica of Our Lady of the Assumption,Hyderabad,Apollo Hospital Jubilee Hills,hospital,17.444268,78.50041
Bhagwan Das Bagh,Hyderabad,Bavarchi Restaurant,restaurant,17.380335,78.440651
Bhagwan Das Bagh,Hyderabad,HDFC Bank ATM,atm,17.377635,78.438451
Bhagwan Das Bagh,Hyderabad,KIMS Hospital Secunderabad,hospital,17.380835,78.437651
Biodiversity Park,Hyderabad,Chutneys Restaurant,restaurant,17.430563,78.377711
Biodiversity Park,Hyderabad,ICICI Bank ATM,atm,17.427863,78.375511
Biodiversity Park,Hyderabad,Yashoda Hospital Malakpet,hospital,17.431063,78.374711
British Residency (Koti),Hyderabad,Paradise Biryani,restaurant,17.385167,78.488182
British Residency (Koti),Hyderabad,Axis Bank ATM,atm,17.382467,78.485982
British Residency (Koti),Hyderabad,Osmania General Hospital,hospital,17.385667,78.485182
Clock Tower (Secunderabad),Hyderabad,Shah Ghouse Hotel,restaurant,17.442401,78.499755
Clock Tower (Secunderabad),Hyderabad,Union Bank of India ATM,atm,17.439701,78.497555
Clock Tower (Secunderabad),Hyderabad,NIMS Hospital Punjagutta,hospital,17.442901,78.496755
Dabeerpura Darwaza,Hyderabad,Minerva Coffee Room,restaurant,17.369422,78.486369
Dabeerpura Darwaza,Hyderabad,SBI ATM Main Branch,atm,17.366722,78.484169
Dabeerpura Darwaza,Hyderabad,Apollo Hospital Jubilee Hills,hospital,17.369922,78.483369
Errum Manzil Palace,Hyderabad,Exotica Restaurant,restaurant,17.421027,78.455764
Errum Manzil Palace,Hyderabad,HDFC Bank ATM,atm,17.418327,78.453564
Errum Manzil Palace,Hyderabad,KIMS Hospital Secunderabad,hospital,17.421527,78.452764
Exhibition Grounds (Numaish),Hyderabad,Nimrah Bakery & Cafe,restaurant,17.38825,78.471671
Exhibition Grounds (Numaish),Hyderabad,ICICI Bank ATM,atm,17.38555,78.469471
Exhibition Grounds (Numaish),Hyderabad,Yashoda Hospital Malakpet,hospital,17.38875,78.468671
Fox Sagar Lake,Hyderabad,Shadab Hotel & Restaurant,restaurant,17.527446,78.469461
Fox Sagar Lake,Hyderabad,Axis Bank ATM,atm,17.524746,78.467261
Fox Sagar Lake,Hyderabad,Osmania General Hospital,hospital,17.527946,78.466461
High Court of Telangana,Hyderabad,Bavarchi Restaurant,restaurant,17.370665,78.473332
High Court of Telangana,Hyderabad,Union Bank of India ATM,atm,17.367965,78.471132
High Court of Telangana,Hyderabad,NIMS Hospital Punjagutta,hospital,17.371165,78.470332
Hill Fort Palace,Hyderabad,Chutneys Restaurant,restaurant,17.404844,78.47485
Hill Fort Palace,Hyderabad,SBI ATM Main Branch,atm,17.402144,78.47265
Hill Fort Palace,Hyderabad,Apollo Hospital Jubilee Hills,hospital,17.405344,78.47185
Horticulture Museum,Hyderabad,Paradise Biryani,restaurant,17.3928,78.4576
Horticulture Museum,Hyderabad,HDFC Bank ATM,atm,17.3901,78.4554
Horticulture Museum,Hyderabad,KIMS Hospital Secunderabad,hospital,17.3933,78.4546
Jalavihar Water Park,Hyderabad,Shah Ghouse Hotel,restaurant,17.433529,78.466513
Jalavihar Water Park,Hyderabad,ICICI Bank ATM,atm,17.430829,78.464313
Jalavihar Water Park,Hyderabad,Yashoda Hospital Malakpet,hospital,17.434029,78.463513
Kalakriti Art Gallery,Hyderabad,Minerva Coffee Room,restaurant,17.417579,78.444611
Kalakriti Art Gallery,Hyderabad,Axis Bank ATM,atm,17.414879,78.442411
Kalakriti Art Gallery,Hyderabad,Osmania General Hospital,hospital,17.418079,78.441611
Khairunnisa Tomb,Hyderabad,Exotica Restaurant,restaurant,17.4538,78.4426
Khairunnisa Tomb,Hyderabad,Union Bank of India ATM,atm,17.4511,78.4404
Khairunnisa Tomb,Hyderabad,NIMS Hospital Punjagutta,hospital,17.4543,78.4396
Khajaguda Lake,Hyderabad,Nimrah Bakery & Cafe,restaurant,17.41625,78.362977
Khajaguda Lake,Hyderabad,SBI ATM Main Branch,atm,17.41355,78.360777
Khajaguda Lake,Hyderabad,Apollo Hospital Jubilee Hills,hospital,17.41675,78.359977
Machli Kaman,Hyderabad,Shadab Hotel & Restaurant,restaurant,17.365892,78.476419
Machli Kaman,Hyderabad,HDFC Bank ATM,atm,17.363192,78.474219
Machli Kaman,Hyderabad,KIMS Hospital Secunderabad,hospital,17.366392,78.473419
Megalithic Burial Site,Hyderabad,Bavarchi Restaurant,restaurant,17.463752,78.335403
Megalithic Burial Site,Hyderabad,ICICI Bank ATM,atm,17.461052,78.333203
Megalithic Burial Site,Hyderabad,Yashoda Hospital Malakpet,hospital,17.464252,78.332403
Mehboob Chowk Clock Tower,Hyderabad,Chutneys Restaurant,restaurant,17.363379,78.472113
Mehboob Chowk Clock Tower,Hyderabad,Axis Bank ATM,atm,17.360679,78.469913
Mehboob Chowk Clock Tower,Hyderabad,Osmania General Hospital,hospital,17.363879,78.469113
Mir Alam Tank,Hyderabad,Paradise Biryani,restaurant,17.346435,78.439194
Mir Alam Tank,Hyderabad,Union Bank of India ATM,atm,17.343735,78.436994
Mir Alam Tank,Hyderabad,NIMS Hospital Punjagutta,hospital,17.346935,78.436194
Moula Ali Dargah,Hyderabad,Shah Ghouse Hotel,restaurant,17.470188,78.557927
Moula Ali Dargah,Hyderabad,SBI ATM Main Branch,atm,17.467488,78.555727
Moula Ali Dargah,Hyderabad,Apollo Hospital Jubilee Hills,hospital,17.470688,78.554927
Qutb Shahi Tombs,Hyderabad,Minerva Coffee Room,restaurant,17.3971,78.3981
Qutb Shahi Tombs,Hyderabad,HDFC Bank ATM,atm,17.3944,78.3959
Qutb Shahi Tombs,Hyderabad,KIMS Hospital Secunderabad,hospital,17.3976,78.3951
Railway Museum,Hyderabad,Exotica Restaurant,restaurant,17.390199,78.4998
Railway Museum,Hyderabad,ICICI Bank ATM,atm,17.387499,78.4976
Railway Museum,Hyderabad,Yashoda Hospital Malakpet,hospital,17.390699,78.4968
Sanjeevaiah Park,Hyderabad,Nimrah Bakery & Cafe,restaurant,17.4375,78.4822
Sanjeevaiah Park,Hyderabad,Axis Bank ATM,atm,17.4348,78.48
Sanjeevaiah Park,Hyderabad,Osmania General Hospital,hospital,17.438,78.4792
Shilpa Kala Vedika,Hyderabad,Shadab Hotel & Restaurant,restaurant,17.452892,78.380488
Shilpa Kala Vedika,Hyderabad,Union Bank of India ATM,atm,17.450192,78.378288
Shilpa Kala Vedika,Hyderabad,NIMS Hospital Punjagutta,hospital,17.453392,78.377488
Spanish Mosque,Hyderabad,Bavarchi Restaurant,restaurant,17.4443,78.47
Spanish Mosque,Hyderabad,SBI ATM Main Branch,atm,17.4416,78.4678
Spanish Mosque,Hyderabad,Apollo Hospital Jubilee Hills,hospital,17.4448,78.467
State Art Gallery,Hyderabad,Chutneys Restaurant,restaurant,17.437971,78.399168
State Art Gallery,Hyderabad,HDFC Bank ATM,atm,17.435271,78.396968
State Art Gallery,Hyderabad,KIMS Hospital Secunderabad,hospital,17.438471,78.396168
Sudha Cars Museum,Hyderabad,Paradise Biryani,restaurant,17.3565,78.4562
Sudha Cars Museum,Hyderabad,ICICI Bank ATM,atm,17.3538,78.454
Sudha Cars Museum,Hyderabad,Yashoda Hospital Malakpet,hospital,17.357,78.4532
Taramati Baradari,Hyderabad,Shah Ghouse Hotel,restaurant,17.377624,78.379363
Taramati Baradari,Hyderabad,Axis Bank ATM,atm,17.374924,78.377163
Taramati Baradari,Hyderabad,Osmania General Hospital,hospital,17.378124,78.376363
Telangana Martyrs Memorial,Hyderabad,Minerva Coffee Room,restaurant,17.401971,78.474874
Telangana Martyrs Memorial,Hyderabad,Union Bank of India ATM,atm,17.399271,78.472673
Telangana Martyrs Memorial,Hyderabad,NIMS Hospital Punjagutta,hospital,17.402471,78.471874
Tribal Museum,Hyderabad,Exotica Restaurant,restaurant,17.404656,78.451577
Tribal Museum,Hyderabad,SBI ATM Main Branch,atm,17.401956,78.449377
Tribal Museum,Hyderabad,Apollo Hospital Jubilee Hills,hospital,17.405156,78.448577
Yellamma Temple (Balkampet),Hyderabad,Nimrah Bakery & Cafe,restaurant,17.449091,78.450277
Yellamma Temple (Balkampet),Hyderabad,HDFC Bank ATM,atm,17.446391,78.448077
Yellamma Temple (Balkampet),Hyderabad,KIMS Hospital Secunderabad,hospital,17.449591,78.447277
Purani Haveli,Hyderabad,Shadab Hotel & Restaurant,restaurant,17.4458,78.4526
Purani Haveli,Hyderabad,ICICI Bank ATM,atm,17.4431,78.4504
Purani Haveli,Hyderabad,Yashoda Hospital Malakpet,hospital,17.4463,78.4496
Dharmapuri Lakshmi Narasimha Swamy Temple,Jagtial,TSTDC Haritha Tourism Restaurant,restaurant,18.9495,79.0922
Dharmapuri Lakshmi Narasimha Swamy Temple,Jagtial,State Bank of India (SBI) ATM,atm,18.9468,79.09
Dharmapuri Lakshmi Narasimha Swamy Temple,Jagtial,Government Primary Health Centre,hospital,18.95,79.0892
Jagtial Fort,Jagtial,Sri Venkateswara Hotel & Dining,restaurant,18.7975,78.9112
Jagtial Fort,Jagtial,Telangana Grameena Bank ATM,atm,18.7948,78.909
Jagtial Fort,Jagtial,Government Area Hospital,hospital,18.798,78.9082
Kondagattu Anjaneya Swamy Temple,Jagtial,Deccan Spice Restaurant,restaurant,18.6665,78.9392
Kondagattu Anjaneya Swamy Temple,Jagtial,State Bank of India (SBI) ATM,atm,18.6638,78.937
Kondagattu Anjaneya Swamy Temple,Jagtial,Government Primary Health Centre,hospital,18.667,78.9362
Ramalingeshwara Temple,Jagtial,TSTDC Haritha Tourism Restaurant,restaurant,18.8917,78.9958
Ramalingeshwara Temple,Jagtial,Telangana Grameena Bank ATM,atm,18.889,78.9936
Ramalingeshwara Temple,Jagtial,Government Area Hospital,hospital,18.8922,78.9928
Kotilingala,Jagtial,Sri Venkateswara Hotel & Dining,restaurant,18.9057,78.9518
Kotilingala,Jagtial,State Bank of India (SBI) ATM,atm,18.903,78.9496
Kotilingala,Jagtial,Government Primary Health Centre,hospital,18.9062,78.9488
Arya VYyasha  Satram,Jangaon,Deccan Spice Restaurant,restaurant,17.667632,79.428712
Arya VYyasha  Satram,Jangaon,Telangana Grameena Bank ATM,atm,17.664932,79.426512
Arya VYyasha  Satram,Jangaon,Government Area Hospital,hospital,17.668132,79.425712
Pembarthi Metal Crafts Village,Jangaon,TSTDC Haritha Tourism Restaurant,restaurant,17.7965,79.0312
Pembarthi Metal Crafts Village,Jangaon,State Bank of India (SBI) ATM,atm,17.7938,79.029
Pembarthi Metal Crafts Village,Jangaon,Government Primary Health Centre,hospital,17.797,79.0282
Khilla Ghanpur (Ghanpur Fort),Jangaon,Sri Venkateswara Hotel & Dining,restaurant,17.7645,79.1577
Khilla Ghanpur (Ghanpur Fort),Jangaon,Telangana Grameena Bank ATM,atm,17.7618,79.1555
Khilla Ghanpur (Ghanpur Fort),Jangaon,Government Area Hospital,hospital,17.765,79.1547
Kaleshwaram Temple,Jayashankar Bhupalpally,Deccan Spice Restaurant,restaurant,18.8179,79.9068
Kaleshwaram Temple,Jayashankar Bhupalpally,State Bank of India (SBI) ATM,atm,18.8152,79.9046
Kaleshwaram Temple,Jayashankar Bhupalpally,Government Primary Health Centre,hospital,18.8184,79.9038
Ramappa Lake,Mulugu,TSTDC Haritha Tourism Restaurant,restaurant,18.2565,79.9292
Ramappa Lake,Mulugu,Telangana Grameena Bank ATM,atm,18.2538,79.927
Ramappa Lake,Mulugu,Government Area Hospital,hospital,18.257,79.9262
Alampur Jogulamba Temple,Jogulamba Gadwal,Sri Venkateswara Hotel & Dining,restaurant,15.8839,78.1318
Alampur Jogulamba Temple,Jogulamba Gadwal,State Bank of India (SBI) ATM,atm,15.8812,78.1296
Alampur Jogulamba Temple,Jogulamba Gadwal,Government Primary Health Centre,hospital,15.8844,78.1288
Gadwal Fort,Jogulamba Gadwal,Deccan Spice Restaurant,restaurant,16.232,77.8024
Gadwal Fort,Jogulamba Gadwal,Telangana Grameena Bank ATM,atm,16.2293,77.8002
Gadwal Fort,Jogulamba Gadwal,Government Area Hospital,hospital,16.2325,77.7994
Guddemdoddi Balancing Reservoir Dam(not a major tourism spot),Jogulamba Gadwal,TSTDC Haritha Tourism Restaurant,restaurant,16.293126,77.653377
Guddemdoddi Balancing Reservoir Dam(not a major tourism spot),Jogulamba Gadwal,State Bank of India (SBI) ATM,atm,16.290426,77.651177
Guddemdoddi Balancing Reservoir Dam(not a major tourism spot),Jogulamba Gadwal,Government Primary Health Centre,hospital,16.293626,77.650377
Priyadarshini Jurala Dam,Jogulamba Gadwal,Sri Venkateswara Hotel & Dining,restaurant,16.338064,77.706713
Priyadarshini Jurala Dam,Jogulamba Gadwal,Telangana Grameena Bank ATM,atm,16.335363,77.704513
Priyadarshini Jurala Dam,Jogulamba Gadwal,Government Area Hospital,hospital,16.338563,77.703713
Relampadu Balancing Reservoir Dam,Jogulamba Gadwal,Deccan Spice Restaurant,restaurant,16.186724,77.663575
Relampadu Balancing Reservoir Dam,Jogulamba Gadwal,State Bank of India (SBI) ATM,atm,16.184024,77.661375
Relampadu Balancing Reservoir Dam,Jogulamba Gadwal,Government Primary Health Centre,hospital,16.187224,77.660575
Domakonda Fort,Kamareddy,TSTDC Haritha Tourism Restaurant,restaurant,18.1423,78.4698
Domakonda Fort,Kamareddy,Telangana Grameena Bank ATM,atm,18.1396,78.4676
Domakonda Fort,Kamareddy,Government Area Hospital,hospital,18.1428,78.4668
Issaipet Dam,Kamareddy,Sri Venkateswara Hotel & Dining,restaurant,18.370263,78.445978
Issaipet Dam,Kamareddy,State Bank of India (SBI) ATM,atm,18.367563,78.443778
Issaipet Dam,Kamareddy,Government Primary Health Centre,hospital,18.370763,78.442978
Kaulas Fort,Kamareddy,Deccan Spice Restaurant,restaurant,18.323994,77.6993
Kaulas Fort,Kamareddy,Telangana Grameena Bank ATM,atm,18.321294,77.6971
Kaulas Fort,Kamareddy,Government Area Hospital,hospital,18.324494,77.6963
Nizam Sagar Dam,Kamareddy,TSTDC Haritha Tourism Restaurant,restaurant,18.210995,77.932677
Nizam Sagar Dam,Kamareddy,State Bank of India (SBI) ATM,atm,18.208295,77.930477
Nizam Sagar Dam,Kamareddy,Government Primary Health Centre,hospital,18.211495,77.929677
Nizam Sagar Reservoir,Kamareddy,Sri Venkateswara Hotel & Dining,restaurant,18.175565,77.956472
Nizam Sagar Reservoir,Kamareddy,Telangana Grameena Bank ATM,atm,18.172865,77.954272
Nizam Sagar Reservoir,Kamareddy,Government Area Hospital,hospital,18.176065,77.953472
Pocharam Wildlife Sanctuary,Kamareddy,Deccan Spice Restaurant,restaurant,18.1515,78.1912
Elgandal Fort,Karimnagar,TSTDC Haritha Tourism Restaurant,restaurant,18.4365,79.0382
Elgandal Fort,Karimnagar,Telangana Grameena Bank ATM,atm,18.4338,79.036
Elgandal Fort,Karimnagar,Government Area Hospital,hospital,18.437,79.0352
Karimnagar Deer Park,Karimnagar,Sri Venkateswara Hotel & Dining,restaurant,18.4225,79.1522
Karimnagar Deer Park,Karimnagar,State Bank of India (SBI) ATM,atm,18.4198,79.15
Karimnagar Deer Park,Karimnagar,Government Primary Health Centre,hospital,18.423,79.1492
Ujwala Park,Karimnagar,Deccan Spice Restaurant,restaurant,18.4125,79.1422
Ujwala Park,Karimnagar,Telangana Grameena Bank ATM,atm,18.4098,79.14
Ujwala Park,Karimnagar,Government Area Hospital,hospital,18.413,79.1392
lower maneru dam,Karimnagar,TSTDC Haritha Tourism Restaurant,restaurant,18.409769,79.109526
lower maneru dam,Karimnagar,State Bank of India (SBI) ATM,atm,18.407069,79.107326
lower maneru dam,Karimnagar,Government Primary Health Centre,hospital,18.410269,79.106526
Nagunur Fort and Temples,Karimnagar,Sri Venkateswara Hotel & Dining,restaurant,18.4016,79.091
Nagunur Fort and Temples,Karimnagar,Telangana Grameena Bank ATM,atm,18.3989,79.0888
Nagunur Fort and Temples,Karimnagar,Government Area Hospital,hospital,18.4021,79.088
Molangur Fort,Karimnagar,Deccan Spice Restaurant,restaurant,18.4526,79.088
Molangur Fort,Karimnagar,State Bank of India (SBI) ATM,atm,18.4499,79.0858
Molangur Fort,Karimnagar,Government Primary Health Centre,hospital,18.4531,79.085
Amudalu Gutta,Khammam,TSTDC Haritha Tourism Restaurant,restaurant,16.894378,80.546388
Amudalu Gutta,Khammam,Telangana Grameena Bank ATM,atm,16.891678,80.544188
Amudalu Gutta,Khammam,Government Area Hospital,hospital,16.894878,80.543388
Jalari Gutta,Khammam,Sri Venkateswara Hotel & Dining,restaurant,16.92709,80.570504
Jalari Gutta,Khammam,State Bank of India (SBI) ATM,atm,16.92439,80.568304
Jalari Gutta,Khammam,Government Primary Health Centre,hospital,16.92759,80.567504
Kattaleru Check Dam,Khammam,Deccan Spice Restaurant,restaurant,16.951229,80.497389
Kattaleru Check Dam,Khammam,Telangana Grameena Bank ATM,atm,16.948529,80.495189
Kattaleru Check Dam,Khammam,Government Area Hospital,hospital,16.951729,80.494389
Khammam Fort,Khammam,TSTDC Haritha Tourism Restaurant,restaurant,17.2445,80.1482
Khammam Fort,Khammam,State Bank of India (SBI) ATM,atm,17.2418,80.146
Khammam Fort,Khammam,Government Primary Health Centre,hospital,17.245,80.1452
Kondakodima Hill,Khammam,Sri Venkateswara Hotel & Dining,restaurant,17.118522,80.366383
Kondakodima Hill,Khammam,Telangana Grameena Bank ATM,atm,17.115822,80.364183
Kondakodima Hill,Khammam,Government Area Hospital,hospital,17.119022,80.363383
Lakaram Lake,Khammam,Deccan Spice Restaurant,restaurant,17.2525,80.1612
Lakaram Lake,Khammam,State Bank of India (SBI) ATM,atm,17.2498,80.159
Lakaram Lake,Khammam,Government Primary Health Centre,hospital,17.253,80.1582
Nelakondapalli Buddhist Stupa,Khammam,TSTDC Haritha Tourism Restaurant,restaurant,17.1525,80.1012
Nelakondapalli Buddhist Stupa,Khammam,Telangana Grameena Bank ATM,atm,17.1498,80.099
Nelakondapalli Buddhist Stupa,Khammam,Government Area Hospital,hospital,17.153,80.0982
Pandavula Gutta,Khammam,Sri Venkateswara Hotel & Dining,restaurant,16.906316,80.537478
Pandavula Gutta,Khammam,State Bank of India (SBI) ATM,atm,16.903616,80.535278
Pandavula Gutta,Khammam,Government Primary Health Centre,hospital,16.906816,80.534478
Raati Darwaza,Khammam,Deccan Spice Restaurant,restaurant,17.2306,80.2446
Raati Darwaza,Khammam,Telangana Grameena Bank ATM,atm,17.2279,80.2424
Raati Darwaza,Khammam,Government Area Hospital,hospital,17.2311,80.2416
Tank Bund,Khammam,TSTDC Haritha Tourism Restaurant,restaurant,17.4195,78.4792
Tank Bund,Khammam,State Bank of India (SBI) ATM,atm,17.4168,78.477
Tank Bund,Khammam,Government Primary Health Centre,hospital,17.42,78.4762
Kusumanchi Temples,Khammam,Sri Venkateswara Hotel & Dining,restaurant,17.1426,80.2366
Kusumanchi Temples,Khammam,Telangana Grameena Bank ATM,atm,17.1399,80.2344
Kusumanchi Temples,Khammam,Government Area Hospital,hospital,17.1431,80.2336
Jodeghat Memorial,Komaram Bheem Asifabad,Deccan Spice Restaurant,restaurant,19.3415,79.1212
Jodeghat Memorial,Komaram Bheem Asifabad,State Bank of India (SBI) ATM,atm,19.3388,79.119
Jodeghat Memorial,Komaram Bheem Asifabad,Government Primary Health Centre,hospital,19.342,79.1182
Kerameri Ghats,Komaram Bheem Asifabad,TSTDC Haritha Tourism Restaurant,restaurant,19.4515,79.1912
Kerameri Ghats,Komaram Bheem Asifabad,Telangana Grameena Bank ATM,atm,19.4488,79.189
Kerameri Ghats,Komaram Bheem Asifabad,Government Area Hospital,hospital,19.452,79.1882
Kuravi Veerabhadra Swamy Temple,Mahabubabad,Sri Venkateswara Hotel & Dining,restaurant,17.3835,80.0562
Kuravi Veerabhadra Swamy Temple,Mahabubabad,State Bank of India (SBI) ATM,atm,17.3808,80.054
Kuravi Veerabhadra Swamy Temple,Mahabubabad,Government Primary Health Centre,hospital,17.384,80.0532
Pakhal WLS,Mahabubabad,Deccan Spice Restaurant,restaurant,17.922681,80.103033
Pakhal WLS,Mahabubabad,Telangana Grameena Bank ATM,atm,17.919981,80.100833
Pakhal WLS,Mahabubabad,Government Area Hospital,hospital,17.923181,80.100033
"palle prakruthi vanam (local village park, not a major tourist attraction)",Mahabubabad,TSTDC Haritha Tourism Restaurant,restaurant,17.493296,79.648832
"palle prakruthi vanam (local village park, not a major tourist attraction)",Mahabubabad,State Bank of India (SBI) ATM,atm,17.490596,79.646632
"palle prakruthi vanam (local village park, not a major tourist attraction)",Mahabubabad,Government Primary Health Centre,hospital,17.493796,79.645832
Koilsagar Dam,Mahabubnagar,Sri Venkateswara Hotel & Dining,restaurant,16.4035,77.7992
Koilsagar Dam,Mahabubnagar,Telangana Grameena Bank ATM,atm,16.4008,77.797
Koilsagar Dam,Mahabubnagar,Government Area Hospital,hospital,16.404,77.7962
Manyamkonda Temple,Mahabubnagar,Deccan Spice Restaurant,restaurant,16.6465,77.8932
Manyamkonda Temple,Mahabubnagar,State Bank of India (SBI) ATM,atm,16.6438,77.891
Manyamkonda Temple,Mahabubnagar,Government Primary Health Centre,hospital,16.647,77.8902
Pillalamarri Banyan Tree,Mahabubnagar,TSTDC Haritha Tourism Restaurant,restaurant,16.7635,78.0072
Pillalamarri Banyan Tree,Mahabubnagar,Telangana Grameena Bank ATM,atm,16.7608,78.005
Pillalamarri Banyan Tree,Mahabubnagar,Government Area Hospital,hospital,16.764,78.0042
Pillalamarri Mini Zoo,Mahabubnagar,Sri Venkateswara Hotel & Dining,restaurant,16.6896,77.98
Pillalamarri Mini Zoo,Mahabubnagar,State Bank of India (SBI) ATM,atm,16.6869,77.9778
Pillalamarri Mini Zoo,Mahabubnagar,Government Primary Health Centre,hospital,16.6901,77.977
Koilkonda Fort,Mahabubnagar,Deccan Spice Restaurant,restaurant,16.7306,77.961
Koilkonda Fort,Mahabubnagar,Telangana Grameena Bank ATM,atm,16.7279,77.9588
Koilkonda Fort,Mahabubnagar,Government Area Hospital,hospital,16.7311,77.958
Annaram Barrage,Mancherial,TSTDC Haritha Tourism Restaurant,restaurant,18.764887,79.825596
Annaram Barrage,Mancherial,State Bank of India (SBI) ATM,atm,18.762187,79.823396
Annaram Barrage,Mancherial,Government Primary Health Centre,hospital,18.765387,79.822596
Gandhari Killa,Mancherial,Sri Venkateswara Hotel & Dining,restaurant,18.9115,79.4112
Gandhari Killa,Mancherial,Telangana Grameena Bank ATM,atm,18.9088,79.409
Gandhari Killa,Mancherial,Government Area Hospital,hospital,18.912,79.4082
Kawal Tiger Reserve,Mancherial,Deccan Spice Restaurant,restaurant,19.1215,78.9512
Kawal Tiger Reserve,Mancherial,State Bank of India (SBI) ATM,atm,19.1188,78.949
Kawal Tiger Reserve,Mancherial,Government Primary Health Centre,hospital,19.122,78.9482
Medigadda Barrage Complex,Mancherial,TSTDC Haritha Tourism Restaurant,restaurant,18.717614,80.067875
Medigadda Barrage Complex,Mancherial,Telangana Grameena Bank ATM,atm,18.714914,80.065675
Medigadda Barrage Complex,Mancherial,Government Area Hospital,hospital,18.718114,80.064875
Parvati Barrage,Mancherial,Sri Venkateswara Hotel & Dining,restaurant,18.73848,79.613215
Parvati Barrage,Mancherial,State Bank of India (SBI) ATM,atm,18.73578,79.611015
Parvati Barrage,Mancherial,Government Primary Health Centre,hospital,18.73898,79.610215
Pranahita WLS,Mancherial,Deccan Spice Restaurant,restaurant,18.96474,79.868158
Pranahita WLS,Mancherial,Telangana Grameena Bank ATM,atm,18.96204,79.865958
Pranahita WLS,Mancherial,Government Area Hospital,hospital,18.96524,79.865158
Air Force Academy Museum (AFA Museum),Medchal-Malkajgiri,TSTDC Haritha Tourism Restaurant,restaurant,17.638697,78.405024
Air Force Academy Museum (AFA Museum),Medchal-Malkajgiri,State Bank of India (SBI) ATM,atm,17.635997,78.402824
Air Force Academy Museum (AFA Museum),Medchal-Malkajgiri,Government Primary Health Centre,hospital,17.639197,78.402024
"Air Force Museum, Hakimpet",Medchal-Malkajgiri,Sri Venkateswara Hotel & Dining,restaurant,17.5567,78.5276
"Air Force Museum, Hakimpet",Medchal-Malkajgiri,Telangana Grameena Bank ATM,atm,17.554,78.5254
"Air Force Museum, Hakimpet",Medchal-Malkajgiri,Government Area Hospital,hospital,17.5572,78.5246
Edulabad Lake,Medchal-Malkajgiri,Deccan Spice Restaurant,restaurant,17.427031,78.699106
Edulabad Lake,Medchal-Malkajgiri,State Bank of India (SBI) ATM,atm,17.424331,78.696906
Edulabad Lake,Medchal-Malkajgiri,Government Primary Health Centre,hospital,17.427531,78.696106
Anandavihara Buddhist Monastery,Medchal-Malkajgiri,TSTDC Haritha Tourism Restaurant,restaurant,17.4811,78.6075
Anandavihara Buddhist Monastery,Medchal-Malkajgiri,Telangana Grameena Bank ATM,atm,17.4784,78.6053
Anandavihara Buddhist Monastery,Medchal-Malkajgiri,Government Area Hospital,hospital,17.4816,78.6045
Saigeetha Ashramam,Medchal-Malkajgiri,Sri Venkateswara Hotel & Dining,restaurant,17.580932,78.503282
Saigeetha Ashramam,Medchal-Malkajgiri,State Bank of India (SBI) ATM,atm,17.578232,78.501082
Saigeetha Ashramam,Medchal-Malkajgiri,Government Primary Health Centre,hospital,17.581432,78.500282
Genome Valley Nature Area,Medchal-Malkajgiri,Deccan Spice Restaurant,restaurant,17.435202,78.546876
Genome Valley Nature Area,Medchal-Malkajgiri,Telangana Grameena Bank ATM,atm,17.432502,78.544676
Genome Valley Nature Area,Medchal-Malkajgiri,Government Area Hospital,hospital,17.435702,78.543876
Bedam Gutta,Mulugu,TSTDC Haritha Tourism Restaurant,restaurant,18.400984,80.715505
Bedam Gutta,Mulugu,State Bank of India (SBI) ATM,atm,18.398284,80.713305
Bedam Gutta,Mulugu,Government Primary Health Centre,hospital,18.401484,80.712505
Doli Gutta,Mulugu,Sri Venkateswara Hotel & Dining,restaurant,18.344355,80.742215
Doli Gutta,Mulugu,Telangana Grameena Bank ATM,atm,18.341655,80.740015
Doli Gutta,Mulugu,Government Area Hospital,hospital,18.344855,80.739215
Ghanpur Cheruvu (local lake),Mulugu,Deccan Spice Restaurant,restaurant,18.305414,79.858785
Ghanpur Cheruvu (local lake),Mulugu,State Bank of India (SBI) ATM,atm,18.302713,79.856585
Ghanpur Cheruvu (local lake),Mulugu,Government Primary Health Centre,hospital,18.305913,79.855785
Sammakka Barrage,Mulugu,TSTDC Haritha Tourism Restaurant,restaurant,18.587741,80.392099
Sammakka Barrage,Mulugu,Telangana Grameena Bank ATM,atm,18.585041,80.389899
Sammakka Barrage,Mulugu,Government Area Hospital,hospital,18.588241,80.389099
Tadvai Forest,Mulugu,Sri Venkateswara Hotel & Dining,restaurant,18.347,80.3582
Tadvai Forest,Mulugu,State Bank of India (SBI) ATM,atm,18.3443,80.356
Tadvai Forest,Mulugu,Government Primary Health Centre,hospital,18.3475,80.3552
Chandra Sagar (local lake),Nagarkurnool,Deccan Spice Restaurant,restaurant,16.42359,78.725193
Chandra Sagar (local lake),Nagarkurnool,Telangana Grameena Bank ATM,atm,16.42089,78.722993
